Variable,Arkhangai,Dornogovi,Bayan-Ölgii,Bayankhongor,Dundgovi,Khentii,Darkhan-Uul,Dornod,Bulgan,Govi-Altai,Ömnögovi,Övörkhangai,Govisümber,Töv,Khovd,Khövsgöl,Selenge,Orkhon,Ulaanbaatar,Sükhbaatar,Uvs,Zavkhan
mean temperature - ssp2 - 2021-2040 - nov - feb,-14.18874597,-10.66243288,-16.78488903,-12.21302942,-11.82058017,-15.45248918,-17.18700792,-14.78701183,-14.77850564,-11.18161622,-7.653300686,-11.74635542,-14.37458013,-15.56870955,-14.3998375,-18.83363087,-16.73649788,-15.03460379,-16.53573272,-14.20726326,-19.0113415,-19.13005995
mean temperature - ssp2 - 2041-2060 - nov - feb,-13.53844923,-10.08660609,-16.03988062,-11.60342652,-11.32216767,-14.66702266,-16.43018834,-13.9426613,-14.03578232,-10.52997977,-7.023685017,-11.17231998,-13.71146366,-14.81928461,-13.76539457,-18.0780358,-15.96652053,-14.24978172,-15.78127298,-13.50367135,-18.3596218,-18.4753716
mean temperature - ssp2 - 2061-2080 - nov - feb,-9.061974984,-4.926697385,-11.62348628,-6.889564089,-6.249165077,-9.463037212,-10.78255091,-8.411101179,-9.19560374,-5.864496832,-2.212469012,-6.364449082,-8.378289151,-9.650833496,-8.677802531,-13.08604862,-10.49622471,-9.371546242,-10.51723999,-8.061981591,-12.47264729,-13.08891955
mean temperature - ssp2 - 2081-2100 - nov - feb,-8.544663797,-4.408413315,-10.99430141,-6.361231516,-5.761833503,-8.857510981,-10.21125169,-7.943946295,-8.644662395,-5.234970497,-1.763686806,-5.903860441,-7.789771459,-9.057549134,-8.000364173,-12.50983673,-9.935889514,-8.841971675,-9.950621278,-7.487684742,-11.84208878,-12.46221159
mean temperature - ssp3 - 2021-2040 - annual,-0.109089107,5.621978062,-2.841610679,2.864235516,4.059440371,0.946546911,0.969910099,2.497821291,0.732063337,3.90735598,7.633473793,3.33593145,2.290207653,0.970569283,1.897183211,-3.097377381,0.821984534,0.597483679,0.367810646,2.783124859,-0.507351211,-2.086562869
mean temperature - ssp3 - 2041-2060 - annual,1.020600271,6.873986454,-1.786315113,3.976700904,5.293556804,2.166663431,2.190625964,3.68488306,1.912198616,5.026849665,8.817091668,4.492991092,3.519014277,2.184547675,3.015557196,-1.962588264,2.041516182,1.799895357,1.57415686,4.032275975,0.580932101,-0.973072886
mean temperature - ssp3 - 2061-2080 - annual,2.304479442,8.084794391,-0.503168162,5.284980153,6.496063384,3.377515297,3.490395919,4.899960489,3.190576821,6.343808548,10.04071193,5.739911536,4.738064992,3.437075252,4.302151044,-0.65334644,3.334766333,3.089517872,2.840801029,5.249346192,1.892129861,0.337415701
mean temperature - ssp3 - 2081-2100 - annual,3.635401784,9.529177019,0.852691722,6.626583305,7.917849194,4.883490794,5.016051412,6.492990458,4.610852572,7.751831709,11.44502154,7.102861082,6.1993574,4.916048445,5.733205754,0.747404892,4.845963243,4.553536014,4.32344481,6.786524367,3.312946764,1.732865261
mean temperature - ssp3 - 2021-2040 - jun - aug,14.73084546,22.91262951,12.06795457,18.89952999,21.013776,18.18397665,19.27426674,20.82726675,16.68846282,19.87183887,23.81441977,19.21596865,19.92866765,18.28261524,18.52263105,13.1101339,18.71966636,17.02015432,17.95873573,20.59969899,18.2184565,15.45620703
mean temperature - ssp3 - 2041-2060 - jun - aug,15.99782915,24.41173568,13.21562247,20.22103626,22.49553294,19.4953361,20.57437853,22.07596402,17.99154565,21.19570587,25.24817385,20.61653848,21.38006773,19.63576489,19.80340376,14.23898983,19.99946544,18.33153428,19.26226744,22.04323426,19.39503685,16.64707692
mean temperature - ssp3 - 2061-2080 - jun - aug,17.21654673,25.50491521,14.38980075,21.48175993,23.64851815,20.57819778,21.82882242,23.0386759,19.2391953,22.47148054,26.43399625,21.80192965,22.5152598,20.81362682,20.99765731,15.46908543,21.24318604,19.607184,20.435966,23.03778864,20.69219587,17.90203439
mean temperature - ssp3 - 2081-2100 - jun - aug,18.86298681,27.08430018,15.96373114,23.09160621,25.26457207,22.23102286,23.59516377,24.73981402,20.93486077,24.14641787,28.00221403,23.47868801,24.08365194,22.52607141,22.73297969,17.03759458,22.99526157,21.32599338,22.15883588,24.67039118,22.32268007,19.55256592
mean temperature - ssp3 - 2021-2040 - nov - feb,-14.1900506,-10.92197998,-16.70114429,-12.24518945,-12.10233492,-15.44410408,-17.25085196,-14.81248511,-14.8744856,-11.21715587,-7.757385478,-11.86611899,-14.54806803,-15.654579,-14.46420847,-18.8624506,-16.801168,-15.15863474,-16.57552238,-14.36137179,-19.0955975,-19.15708174
mean temperature - ssp3 - 2041-2060 - nov - feb,-12.99548806,-9.61032393,-15.53895625,-11.12307266,-10.80214333,-14.05852699,-15.85308801,-13.45155389,-13.57329992,-10.05606671,-6.586445637,-10.6898248,-13.19910363,-14.29963242,-13.23734684,-17.55426823,-15.38885192,-13.8140096,-15.19532929,-13.00257506,-17.88017644,-17.9461682
mean temperature - ssp3 - 2061-2080 - nov - feb,-11.78589074,-8.522691275,-14.27449102,-9.915342483,-9.795201899,-12.962369,-14.62614884,-12.21668602,-12.38662298,-8.810011457,-5.491715582,-9.575569729,-12.17522408,-13.17773615,-11.97225932,-16.27580805,-14.1632803,-12.61834615,-14.04418271,-11.84684992,-16.63344768,-16.65698641
mean temperature - ssp3 - 2081-2100 - nov - feb,-6.056378278,-1.794830106,-8.592671702,-3.849629236,-3.18078201,-6.176364169,-7.36004707,-5.059791233,-6.080874157,-2.728680777,0.806109833,-3.415008533,-5.223530168,-6.413363376,-5.511672177,-9.889356865,-7.10490756,-6.167722019,-7.193554815,-4.768110427,-9.273836819,-9.905218753
mean temperature - ssp5 - 2021-2040 - annual,0.008851025,5.8465695,-2.713683517,2.977182287,4.241442072,1.068963261,1.074040836,2.599383409,0.863106638,4.06860952,7.775645907,3.458844504,2.48737145,1.104026571,2.056677815,-3.000611204,0.921597012,0.735688066,0.473022189,2.946814481,-0.359158201,-1.974149563
mean temperature - ssp5 - 2041-2060 - annual,1.411065354,7.245309464,-1.403842944,4.409142633,5.655625388,2.540258529,2.624032085,4.086099595,2.302488135,5.496637279,9.250692886,4.874972804,3.889712504,2.5840193,3.45518538,-1.58832028,2.461749613,2.21417205,1.989208555,4.422233226,0.999731896,-0.568389757
mean temperature - ssp5 - 2061-2080 - annual,3.125037645,9.024703595,0.318610492,6.104291863,7.433040342,4.278943062,4.383292856,5.801092531,4.080265948,7.191411773,10.9645814,6.626498614,5.68296176,4.359593503,5.183360239,0.15908802,4.217599378,4.009896719,3.746537538,6.164948321,2.766855576,1.16074014
mean temperature - ssp5 - 2081-2100 - annual,5.252975465,11.08325286,2.49733045,8.235996324,9.492438971,6.501441475,6.654391253,8.125550256,6.259705876,9.404664067,13.02609035,8.699800717,7.82383987,6.556570054,7.400415878,2.356625668,6.484220098,6.237358339,5.94838424,8.399222813,4.928622368,3.371108398
